id,tipo,tabla_destino,descripcion,monto,fecha,cliente_proveedor,creado_en,procesado,metadata_json
1,ingreso,,Stephanie - test,500.00,2025-08-01 00:00:00,,2025-08-01 17:07:11,0,
2,ingreso,,Sebas - test2,800.00,2025-08-02 00:00:00,,2025-08-01 17:07:38,0,
3,ingreso,,Jessie - test3,1000.00,2025-08-02 00:00:00,,2025-08-01 17:14:10,0,
4,gasto,,Mayca - test3,9000.00,2025-08-01 00:00:00,,2025-08-01 17:18:28,0,
5,ingreso,facturas_venta,test6,500.00,2025-08-02 00:00:00,Stephanie,2025-08-01 17:57:48,0,
6,gasto,facturas_compra,pampers,800.00,2025-08-15 00:00:00,walmart,2025-08-01 17:58:30,0,
7,ingreso,facturas_venta,venta de carro,8000000.00,2025-08-02 00:00:00,Mario,2025-08-01 18:09:27,0,
8,ingreso,facturas_venta,Devolución de compra,-1000.00,2025-08-03 00:00:00,Empresa ABC,2025-08-01 18:15:25,0,
9,ingreso,facturas_venta,,-800.00,2025-08-08 00:00:00,Mario Casas,2025-08-01 18:35:01,0,
10,ingreso,facturas_venta,,-60000.00,2025-08-03 00:00:00,Luisa,2025-08-01 18:44:09,0,
11,ingreso,facturas_venta,Javi - prueba agosto 5,9000.00,2025-08-06 00:00:00,,2025-08-06 04:01:31,0,
